Dosya_Adı,Gercek_Duygu,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
G08_D03_K_19_Notr_C1.ogg,Notr,-355.5813,111.90288,2.6107137,38.83328,-14.364914,-1.6851097,-18.903728,-10.827775,2.8376927,-8.147055,-7.4259205,-3.7316296,-11.677367
G08_D03_K_19_Ofkeli_C3.ogg,Ofkeli,-323.8922,95.48458,-5.624839,46.929905,-6.071013,-3.9765997,-5.516554,-17.016918,-13.266303,-7.393538,-15.421881,-7.482085,-7.674273
G08_D03_K_19_Saskın_C5.ogg,Notr,-350.80084,89.026436,1.0811845,41.830173,-28.717691,-3.9143057,-12.080917,-16.527718,-8.980206,-6.5371256,-11.860667,-4.1926675,-6.5654683
G08_D04_K_15_Mutlu_C2.ogg,Mutlu,-344.54037,89.63835,7.045117,28.791922,6.7824173,-9.285999,-13.778391,-10.108683,-12.29489,-12.8460245,-8.45517,-6.218821,-14.393895
G08_D04_K_15_Notr_C1.ogg,Notr,-328.9277,88.84943,10.222603,21.792938,-6.2837534,0.6526417,-5.7961564,-23.221748,-10.4965725,-1.9584138,-13.316125,-11.839498,-12.296942
G08_D04_K_15_Uzgun_C4.ogg,Uzgun,-328.5701,87.81776,15.408819,33.806427,7.678561,1.4391779,-13.785094,-13.335945,-12.264001,-11.055046,-12.377268,-7.960659,-9.669285
G08_D05_E_21_Notr_C1.ogg,Notr,-290.5096,144.39246,7.1928782,44.59469,-31.159111,12.133415,-2.5560284,-6.699824,-10.0184145,3.0745862,-6.796589,-11.408322,0.94671106
G08_D05_E_21_Ofkeli_C3.ogg,Ofkeli,-335.13803,125.19275,34.173157,39.955223,-34.99333,16.101877,-14.53217,0.9097067,-5.2906466,-8.900901,-0.9339511,-14.270371,1.0894198
G08_D05_E_21_Uzgun_C4.ogg,Uzgun,-332.58423,116.805046,12.928035,63.16296,-2.0757675,6.45886,-11.396998,3.7329931,-8.703156,-1.0656608,-4.1129146,-12.220742,-1.2011031
G08_D06_C_7_Mutlu_C2.ogg,Mutlu,-283.74,101.93267,-36.662094,8.635711,-37.92851,-4.4891853,-16.82708,-27.31523,-5.9974604,-9.527908,-4.903408,-7.6837196,-14.650373
G08_D06_C_7_Notr_C1.ogg,Notr,-315.49323,114.47051,-45.46131,-20.248762,-21.174482,-3.306977,-12.218471,-22.383059,-6.876721,-7.141308,-7.1452646,-6.685259,-3.9292734
G08_D06_C_7_Saskin_C5.ogg,Saskin,-298.94705,91.46892,-26.443295,7.888298,-33.650272,-1.6373771,-11.473837,-17.360176,-3.4648054,-9.356188,-6.230018,-10.180111,-6.923786
